year,month,day,hour,minute,dhi,dni,ghi,temperature
2022,1,4,19,10,0,0,0,1
2022,1,4,19,20,0,0,0,0.9
2022,1,4,19,30,0,0,0,0.8
2022,1,4,19,40,0,0,0,0.8
2022,1,4,19,50,0,0,0,0.7
2022,1,4,20,0,0,0,0,0.6
2022,1,4,20,10,0,0,0,0.6
2022,1,4,20,20,0,0,0,0.6
2022,1,4,20,30,0,0,0,0.5
2022,1,4,20,40,0,0,0,0.5
2022,1,4,20,50,0,0,0,0.5
2022,1,4,21,0,0,0,0,0.4
2022,1,4,21,10,0,0,0,0.4
2022,1,4,21,20,0,0,0,0.4
2022,1,4,21,30,0,0,0,0.4
2022,1,4,21,40,0,0,0,0.4
2022,1,4,21,50,0,0,0,0.4
2022,1,4,22,0,0,0,0,0.4
2022,1,4,22,10,0,0,0,0.4
2022,1,4,22,20,0,0,0,0.4
2022,1,4,22,30,0,0,0,0.4
2022,1,4,22,40,0,0,0,0.4
2022,1,4,22,50,0,0,0,0.4
2022,1,4,23,0,0,0,0,0.5
2022,1,4,23,10,0,0,0,0.5
2022,1,4,23,20,0,0,0,0.5
2022,1,4,23,30,0,0,0,0.5
2022,1,4,23,40,0,0,0,0.5
2022,1,4,23,50,0,0,0,0.5
2022,1,5,0,0,0,0,0,0.5
2022,1,5,0,10,0,0,0,0.5
2022,1,5,0,20,0,0,0,0.6
2022,1,5,0,30,0,0,0,0.6
2022,1,5,0,40,0,0,0,0.6
2022,1,5,0,50,0,0,0,0.7
2022,1,5,1,0,0,0,0,0.7
2022,1,5,1,10,0,0,0,0.8
2022,1,5,1,20,0,0,0,0.9
2022,1,5,1,30,0,0,0,0.9
2022,1,5,1,40,0,0,0,1
2022,1,5,1,50,0,0,0,1.1
2022,1,5,2,0,0,0,0,1.1
2022,1,5,2,10,0,0,0,1.2
2022,1,5,2,20,0,0,0,1.2
2022,1,5,2,30,0,0,0,1.2
2022,1,5,2,40,0,0,0,1.3
2022,1,5,2,50,0,0,0,1.3
2022,1,5,3,0,0,0,0,1.3
2022,1,5,3,10,0,0,0,1.4
2022,1,5,3,20,0,0,0,1.4
2022,1,5,3,30,0,0,0,1.4
2022,1,5,3,40,0,0,0,1.5
2022,1,5,3,50,0,0,0,1.5
2022,1,5,4,0,0,0,0,1.5
2022,1,5,4,10,0,0,0,1.6
2022,1,5,4,20,0,0,0,1.6
2022,1,5,4,30,0,0,0,1.6
2022,1,5,4,40,0,0,0,1.7
2022,1,5,4,50,0,0,0,1.7
2022,1,5,5,0,0,0,0,1.7
2022,1,5,5,10,0,0,0,1.8
2022,1,5,5,20,0,0,0,1.9
2022,1,5,5,30,0,0,0,1.9
2022,1,5,5,40,0,0,0,2
2022,1,5,5,50,0,0,0,2
2022,1,5,6,0,0,0,0,2.1
2022,1,5,6,10,0,0,0,2.1
2022,1,5,6,20,0,0,0,2.2
2022,1,5,6,30,0,0,0,2.2
2022,1,5,6,40,0,0,0,2.3
2022,1,5,6,50,0,0,0,2.3
2022,1,5,7,0,0,0,0,2.4
2022,1,5,7,10,0,0,0,2.4
2022,1,5,7,20,0,0,0,2.5
2022,1,5,7,30,0,0,0,2.5
2022,1,5,7,40,0,0,0,2.5
2022,1,5,7,50,0,0,0,2.6
2022,1,5,8,0,0,0,0,2.6
2022,1,5,8,10,11,0,11,2.7
2022,1,5,8,20,17,0,17,2.8
2022,1,5,8,30,28,0,28,2.9
2022,1,5,8,40,56,7,57,3
2022,1,5,8,50,83,94,97,3
2022,1,5,9,0,35,0,35,3.1
2022,1,5,9,10,109,41,117,3.2
2022,1,5,9,20,121,89,140,3.2
2022,1,5,9,30,118,26,124,3.3
2022,1,5,9,40,60,1,60,3.3
2022,1,5,9,50,70,1,70,3.3
2022,1,5,10,0,68,1,68,3.4
2022,1,5,10,10,68,0,68,3.4
2022,1,5,10,20,117,6,119,3.5
2022,1,5,10,30,109,2,110,3.5
2022,1,5,10,40,93,1,93,3.5
2022,1,5,10,50,195,44,211,3.6
2022,1,5,11,0,35,0,35,3.6
2022,1,5,11,10,77,1,77,3.6
2022,1,5,11,20,67,0,67,3.6
2022,1,5,11,30,75,0,75,3.7
